date,barbican,golden_lane,city_of_london_flats,london_flats,england_flats
2012-02-28,962127,,,,
2021-06-04,699000,,,,
1995-07-18,100000,,,,
2009-09-04,485000,,,,
2002-07-10,310000,,,,
1997-02-28,120000,,,,
2005-05-27,160000,,,,
1999-12-10,170000,,,,
1995-06-26,102000,,,,
2016-03-30,1450000,,,,
2009-12-08,825000,,,,
1999-04-12,225000,,,,
1996-04-12,95000,,,,
2015-05-21,1750000,,,,
1999-05-28,230000,,,,
2024-03-08,967500,,,,
2016-03-11,950000,,,,
2020-02-13,478000,,,,
2014-03-28,750000,,,,
2005-12-23,340000,,,,
2002-03-08,241500,,,,
2019-03-18,920000,,,,
2021-05-27,495000,,,,
1999-01-28,125000,,,,
1996-12-16,109500,,,,
2022-08-22,1570000,,,,
1999-11-30,315000,,,,
2009-01-06,500000,,,,
1997-01-31,101000,,,,
2002-05-10,283000,,,,
2001-06-22,230000,,,,
2009-03-31,280000,,,,
2002-05-31,180000,,,,
2003-07-18,163000,,,,
2000-11-17,120000,,,,
1999-12-03,80000,,,,
1999-05-24,79500,,,,
1999-10-29,170000,,,,
2022-01-07,1895000,,,,
2009-03-25,925000,,,,
2005-11-02,350000,,,,
1997-09-05,135000,,,,
2006-07-17,380000,,,,
2005-02-25,287000,,,,
2009-04-17,480000,,,,
2005-06-20,375000,,,,
2002-07-29,315000,,,,
1997-10-02,147000,,,,
1995-03-30,102000,,,,
2007-02-27,270000,,,,
2004-09-08,575000,,,,
2016-03-31,880000,,,,
2013-10-17,415000,,,,
2005-09-16,195000,,,,
2001-04-18,132000,,,,
1996-04-30,50000,,,,
2022-08-11,440000,,,,
2005-08-26,341120,,,,
2021-10-29,840000,,,,
2014-04-09,790000,,,,
2002-10-16,190000,,,,
2010-09-03,650000,,,,
2005-02-28,420000,,,,
2003-12-05,335000,,,,
1997-11-28,172500,,,,
1995-07-28,114000,,,,
2007-03-02,998200,,,,
2023-05-02,680000,,,,
2015-09-18,710000,,,,
1999-10-01,156000,,,,
2006-11-16,430000,,,,
1996-07-31,107500,,,,
2010-10-22,429950,,,,
1997-09-11,122000,,,,
2017-04-20,755000,,,,
2015-10-02,700000,,,,
1999-02-15,142000,,,,
2021-04-23,632000,,,,
2003-11-26,300000,,,,
2000-12-12,430000,,,,
1996-11-11,160000,,,,
2024-10-18,945000,,,,
1999-07-29,210000,,,,
1997-06-02,141000,,,,
2001-11-06,335000,,,,
2003-05-22,560000,,,,
2000-04-20,400000,,,,
1998-03-06,233000,,,,
2010-04-23,630000,,,,
2004-01-06,245000,,,,
2003-10-28,320000,,,,
2001-02-28,235000,,,,
2019-03-08,476000,,,,
2013-11-01,395250,,,,
2000-12-19,138500,,,,
2001-10-01,405000,,,,
1998-11-06,215000,,,,
2024-05-17,780000,,,,
2009-03-27,372000,,,,
2008-02-06,287500,,,,
2011-04-04,950000,,,,
2006-04-21,650000,,,,
2017-08-07,790000,,,,
2001-09-27,250000,,,,
1996-12-18,97000,,,,
2021-10-20,800000,,,,
1999-11-23,213000,,,,
2024-02-22,1350000,,,,
1999-07-15,238000,,,,
2016-03-30,868000,,,,
2006-07-04,235000,,,,
1997-02-24,52000,,,,
2002-07-31,220000,,,,
1999-06-15,135000,,,,
1995-08-04,93000,,,,
1996-09-20,62100,,,,
2019-02-01,747500,,,,
2003-11-14,258000,,,,
2016-05-20,760000,,,,
2009-09-04,375000,,,,
2002-08-27,240000,,,,
2022-04-29,925000,,,,
2016-10-27,950000,,,,
2014-08-22,1440000,,,,
1995-05-09,142000,,,,
2019-03-29,450000,,,,
2013-12-06,440000,,,,
2024-07-30,570000,,,,
2006-12-21,289500,,,,
1996-12-13,75000,,,,
2018-02-05,880000,,,,
1999-04-01,175000,,,,
1999-09-22,200000,,,,
2015-06-18,1010000,,,,
2009-03-27,500000,,,,
2021-09-30,815000,,,,
2007-06-27,946000,,,,
2000-01-14,371000,,,,
1997-01-24,56000,,,,
2006-10-03,432500,,,,
2005-02-15,335000,,,,
2023-10-27,970000,,,,
2013-07-29,875000,,,,
2004-10-27,375000,,,,
