date,"FLAT 30, BASTERFIELD HOUSE","FLAT 24, BASTERFIELD HOUSE","FLAT 334, CRESCENT HOUSE","FLAT 18, BASTERFIELD HOUSE","FLAT 3, BAYER HOUSE","City of London, all sales average","City of London, flats average","London, all sales average","London, flats average","England, all sales average","England, flats average"
2006-08-01,,,,,,358438,,,,,
2008-07-01,,,,,,442352,,,,,
2002-10-01,,,,,,271941,,,,,
2020-06-01,,,,,,871336,,,,,
2006-01-01,,,,,,316121,,,,,
2016-03-01,,,,,,794754,,,,,
2012-09-01,,,,,,525971,,,,,
2001-12-01,,,,,,362204,,,,,
2015-04-01,,,,,,729148,,,,,
2020-08-01,,,,,,828097,,,,,
2017-12-01,,,,,,778002,,,,,
2016-09-01,,,,,,780527,,,,,
2004-06-01,,,,,,297421,,,,,
2017-03-01,,,,,,853885,,,,,
2018-09-01,,,,,,800875,,,,,
2014-09-01,,,,,,753704,,,,,
2023-10-01,,,,,,876920,,,,,
2001-03-01,,,,,,189033,,,,,
2007-06-01,,,,,,436079,,,,,
2019-01-01,,,,,,865636,,,,,
2004-05-01,,,,,,280062,,,,,
2023-04-01,,,,,,839397,,,,,
2021-12-01,,,,,,1006720,,,,,
2024-07-01,,,,,,754954,,,,,
2006-05-01,,,,,,313126,,,,,
2008-10-01,,,,,,440012,,,,,
2003-12-01,,,,,,305556,,,,,
2010-01-01,,,,,,464436,,,,,
2007-09-01,,,,,,463525,,,,,
2013-04-01,,,,,,590685,,,,,
2014-01-01,,,,,,625001,,,,,
2018-05-01,,,,,,796399,,,,,
2004-08-01,,,,,,307094,,,,,
2011-11-01,,,,,,478809,,,,,
2005-01-01,,,,,,330363,,,,,
2019-10-01,,,,,,820169,,,,,
2017-06-01,,,,,,930786,,,,,
2007-10-01,,,,,,456422,,,,,
2013-12-01,,,,,,615401,,,,,
2008-12-01,,,,,,387178,,,,,
2019-03-01,,,,,,853451,,,,,
2004-07-01,,,,,,298293,,,,,
2024-04-01,,,,,,810250,,,,,
2007-12-01,,,,,,464277,,,,,
2007-08-01,,,,,,473887,,,,,
2005-02-01,,,,,,288867,,,,,
2020-07-01,,,,,,786860,,,,,
2017-07-01,,,,,,854798,,,,,
2020-12-01,,,,,,797973,,,,,
2000-05-01,,,,,,175041,,,,,
2001-09-01,,,,,,229806,,,,,
2005-12-01,,,,,,339626,,,,,
2006-04-01,,,,,,319580,,,,,
2009-04-01,,,,,,345338,,,,,
2009-08-01,,,,,,360545,,,,,
2010-02-01,,,,,,490525,,,,,
2015-12-01,,,,,,713253,,,,,
1997-12-01,,,,,,130035,,,,,
2012-08-01,,,,,,496168,,,,,
1999-08-01,,,,,,160905,,,,,
2001-07-01,,,,,,230700,,,,,
2010-05-01,,,,,,454928,,,,,
2017-11-01,,,,,,790159,,,,,
2009-05-01,,,,,,373504,,,,,
2008-03-01,,,,,,404849,,,,,
2021-11-01,,,,,,894799,,,,,
2005-10-01,,,,,,338837,,,,,
2018-03-01,,,,,,740799,,,,,
2018-10-01,,,,,,803391,,,,,
2007-07-01,,,,,,467348,,,,,
2017-05-01,,,,,,939775,,,,,
2011-12-01,,,,,,496291,,,,,
2015-03-01,,,,,,767207,,,,,
1999-07-01,,,,,,164056,,,,,
2003-10-01,,,,,,252980,,,,,
2014-06-01,,,,,,697309,,,,,
2010-08-01,,,,,,442597,,,,,
2016-01-01,,,,,,736788,,,,,
2014-04-01,,,,,,665262,,,,,
2018-08-01,,,,,,784144,,,,,
2023-12-01,,,,,,807073,,,,,
2024-03-01,,,,,,831249,,,,,
1999-04-01,,,,,,191157,,,,,
2003-06-01,,,,,,267208,,,,,
2004-01-01,,,,,,326913,,,,,
2000-09-01,,,,,,223175,,,,,
